FMC_ID;IOB_TYPE;IOB_INDEX;IOB_DIR;IOB_SWAP;IOB_PIN;IOB_PINB
2;HB;17;DIRIO;1;P28 ;P29 ;
2;HB;18;DIRIO;0;N29 ;M29 ;
2;HB;19;DIRIO;1;M30 ;M31 ;
2;HB;20;DIRIO;0;N32 ;N33 ;
2;HB;21;DIRIO;0;T33 ;R33 ;
2;LA;0;DIRIO;0;AE28;AF28;
2;LA;1;DIRIO;1;AF29;AF30;
2;LA;2;DIRIO;1;AG31;AH31;
2;LA;3;DIRIO;1;AG24;AH24;
2;LA;4;DIRIO;1;AC26;AC27;
2;LA;5;DIRIO;1;AH33;AH34;
2;LA;6;DIRIO;0;AE23;AF23;
2;LA;7;DIRIO;1;AG27;AH27;
2;LA;8;DIRIO;0;AD25;AE25;
2;LA;9;DIRIO;1;AF25;AG25;
2;LA;10;DIRIO;1;AG32;AH32;
2;LA;11;DIRIO;1;AD30;AE30;
2;LA;12;DIRIO;1;AE27;AF27;
2;LA;13;DIRIO;1;AF34;AG34;
2;LA;14;DIRIO;1;AE33;AF33;
2;LA;15;DIRIO;1;AD28;AD29;
2;LA;16;DIRIO;0;AD33;AD34;
2;LA;17;DIRIO;1;AB31;AB32;
2;LA;18;DIRIO;0;W30 ;W31 ;
2;LA;19;DIRIO;1;AB26;AB27;
2;LA;20;DIRIO;0;AB24;AB25;
2;LA;21;DIRIO;1;AA32;AA33;
2;LA;22;DIRIO;1;AA24;AA25;
2;LA;23;DIRIO;1;W25 ;Y25 ;
2;LA;24;DIRIO;0;Y32 ;Y33 ;
2;LA;25;DIRIO;1;AA29;AB29;
2;LA;26;DIRIO;1;AC31;AC32;
2;LA;27;DIRIO;0;AA27;AA28;
2;LA;28;DIRIO;1;W28 ;W29 ;
2;LA;29;DIRIO;1;AC33;AC34;
2;LA;30;DIRIO;0;W33 ;W34 ;
2;LA;31;DIRIO;1;V31 ;V32 ;
2;LA;32;DIRIO;0;AA34;AB34;
2;LA;33;DIRIO;0;V33 ;V34 ;
